Field=#~Integer~#~50|Field=Designator~String~Designator~125|Field=MountType~String~MountType~125|Field=PackageReference~String~PackageReference~125|Field=Center-X(Mil)~String~Center-X(Mil)~125|Field=Center-X(mm)~String~Center-X(mm)~125|Field=Center-Y(Mil)~String~Center-Y(Mil)~125|Field=Center-Y(mm)~String~Center-Y(mm)~125|Field=Layer~String~Layer~125|Field=Pad-X(Mil)~String~Pad-X(Mil)~125|Field=Pad-X(mm)~String~Pad-X(mm)~125|Field=Pad-Y(Mil)~String~Pad-Y(Mil)~125|Field=Pad-Y(mm)~String~Pad-Y(mm)~125|Field=Ref-X(Mil)~String~Ref-X(Mil)~125|Field=Ref-X(mm)~String~Ref-X(mm)~125|Field=Ref-Y(Mil)~String~Ref-Y(Mil)~125|Field=Ref-Y(mm)~String~Ref-Y(mm)~125|Field=Rotation~String~Rotation~125|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MCU014B_D1.PrjPcb|ReportField=ProjectFullPath~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU014\B\4 - Altium Design Files\MCU014A_D1_B_DATABASE\MCU014B_D1.PrjPcb|ReportField=Title~Pick and Place For Variant [002] of Project [MCU014B_D1.PrjPcb] (PCB Document : MCU014B_D1.PcbDoc)|ReportField=ReportTime~3:49:29 PM|ReportField=ReportDate~12/18/2018|ReportField=ReportDateTime~12/18/2018 3:49:29 PM|ReportField=OutputName~Pick and Place|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~002|ReportField=TotalQuantity~303|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=EVM_Orderable~LAUNCHXL-CC3235SF|ReportField=CopyrightYear~2018|ReportField=DrawnBy~Vince Rodriguez|ReportField=PCB_Layout~Tessolve|ReportField=PCB_Rev~B|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Vince Rodriguez|ReportField=PRJ_Number~MCU014|ReportField=PRJ_Title~LAUNCHXL-CC3235(S & SF)|ReportField=SCH_Rev~B|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~12/18/2018|ReportField=CurrentTime~2:57:02 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU014\B\4 - Altium Design Files\MCU014A_D1_B_DATABASE\MCU014B_D1_AntennaRFSection.SchDoc|ReportField=DocumentName~MCU014B_D1_AntennaRFSection.SchDoc|ReportField=DocumentNumber~6|ReportField=Engineer~Vince Rodriguez|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~12/17/2018|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MCU014B_D1.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~6|ReportField=SheetTotal~7|ReportField=Time~Not shown in title block|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MCU014B_D1.PrjPcb|ReportField=DataSourceFullPath~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU014\B\4 - Altium Design Files\MCU014A_D1_B_DATABASE\MCU014B_D1.PrjPcb|ReportField=PCBDataSourceFileName~MCU014B_D1.PcbDoc|ReportField=PCBDataSourceFullPath~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU014\B\4 - Altium Design Files\MCU014A_D1_B_DATABASE\MCU014B_D1.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~SRC-MCU014A_D1|ReportField=ItemRevision~A.1|ReportField=ItemAndRevision~SRC-MCU014A_D1-A.1|ReportField=ItemRevisionBase~1|ReportField=ItemRevisionLevel1~A|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~A.1|ReportField=ItemRevisionLevel2AndLevel1~A
37|C45|SMT|0402|1322.323|33.587|1456.707|37.00035|Top|1305.62|33.16274|1440.004|36.57609|1322.323|33.587|1456.707|37.00035|45
38|C46|SMT|0201|1284.87|32.6357|1382.184|35.10748|Top|1275.683|32.40236|1372.997|34.87413|1284.87|32.6357|1382.184|35.10748|45
39|C47|SMT|0402|1051|26.6954|1558|39.5732|Top|1051|26.6954|1538|39.0652|1051|26.6954|1558|39.5732|90
40|C48|SMT|0402|768.622|19.523|1210|30.734|Top|788.622|20.031|1210|30.734|768.622|19.523|1210|30.734|180
41|C49|SMT|0402|1331.065|33.80905|901.648|22.90186|Top|1311.065|33.30105|901.648|22.90186|1331.065|33.80905|901.648|22.90186|0
42|C50|SMT|0402|592.874|15.059|1392.099|35.35932|Top|572.874|14.551|1392.099|35.35932|592.874|15.059|1392.099|35.35932|0
43|C51|SMT|0603|1444|36.6776|1072|27.2288|Top|1412.504|35.8776|1072|27.2288|1444|36.6776|1072|27.2288|0
44|C52|SMT|0402|1207|30.6578|1539|39.0906|Top|1207|30.6578|1519|38.5826|1207|30.6578|1539|39.0906|90
45|C53|SMT|0201|1365.68|34.68828|1121.739|28.49217|Top|1365.68|34.68828|1134.731|28.82217|1365.68|34.68828|1121.739|28.49217|270
46|C54|SMT|0201|986.577|25.05906|994.262|25.25425|Top|986.577|25.05906|1007.254|25.58425|986.577|25.05906|994.262|25.25425|270
47|C55|SMT|0201|1285.883|32.66143|1121.739|28.49217|Top|1285.883|32.66143|1134.731|28.82217|1285.883|32.66143|1121.739|28.49217|270
48|C56|SMT|0603|1442|36.6268|1380|35.052|Top|1410.504|35.8268|1380|35.052|1442|36.6268|1380|35.052|0
49|C57|SMT|0603|1540|39.116|1389|35.2806|Top|1540|39.116|1420.496|36.0806|1540|39.116|1389|35.2806|270
50|C58|SMT|0402|1262.64|32.07106|1019.793|25.90274|Top|1262.64|32.07106|1039.793|26.41074|1262.64|32.07106|1019.793|25.90274|270
51|C59|SMT|0603|1527|38.7858|1523|38.6842|Top|1527|38.7858|1491.504|37.8842|1527|38.7858|1523|38.6842|90
52|C60|SMT|0402|768.622|19.523|1256|31.9024|Top|788.622|20.031|1256|31.9024|768.622|19.523|1256|31.9024|180
53|C61|SMT|0402|991|25.1714|1559|39.5986|Top|991|25.1714|1539|39.0906|991|25.1714|1559|39.5986|90
54|C62|SMT|0603|1259|31.9786|1550|39.37|Top|1259|31.9786|1518.504|38.57|1259|31.9786|1550|39.37|90
55|C63|SMT|0402|1166|29.6164|1539|39.0906|Top|1166|29.6164|1519|38.5826|1166|29.6164|1539|39.0906|90
56|C64|SMT|0201|959.694|24.37623|994.262|25.25425|Top|959.694|24.37623|1007.254|25.58425|959.694|24.37623|994.262|25.25425|270
57|C65|SMT|0402|1003|25.4762|1699.331|43.163|Top|1003|25.4762|1719.331|43.671|1003|25.4762|1699.331|43.163|270
58|C66|SMT|0402|1217|30.9118|1705|43.307|Top|1217|30.9118|1725|43.815|1217|30.9118|1705|43.307|270
59|C67|SMT|0402|866.89|22.019|837|21.2598|Top|886.89|22.527|837|21.2598|866.89|22.019|837|21.2598|180
60|C68|SMT|0201|1257.237|31.93382|1116.738|28.36514|Top|1257.237|31.93382|1129.73|28.69514|1257.237|31.93382|1116.738|28.36514|270
61|C69|SMT|0402|782.168|19.86707|905|22.987|Top|782.168|19.86707|925|23.495|782.168|19.86707|905|22.987|270
62|C70|SMT|0402|689|17.5006|2025|51.435|Top|669|16.9926|2025|51.435|689|17.5006|2025|51.435|0
63|C71|SMT|0402|239|6.0706|2215|56.261|Top|219|5.5626|2215|56.261|239|6.0706|2215|56.261|0
64|C72|SMT|0402|689|17.5006|2225|56.515|Top|709|18.0086|2225|56.515|689|17.5006|2225|56.515|180
65|C73|SMT|0402|590.202|14.99113|1915.956|48.66527|Top|570.202|14.48313|1915.956|48.66527|590.202|14.99113|1915.956|48.66527|0
66|C74|SMT|0402|359|9.1186|1915|48.641|Top|379|9.6266|1915|48.641|359|9.1186|1915|48.641|180
67|C75|SMT|0402|511.811|13|114.173|2.9|Top|531.811|13.508|114.173|2.9|511.811|13|114.173|2.9|180
68|C76|SMT|0402|273|6.9342|-15.378|-0.3906|Top|253|6.4262|-15.378|-0.3906|273|6.9342|-15.378|-0.3906|0
69|C77|SMT|0402|156|3.9624|64.622|1.6414|Top|176|4.4704|64.622|1.6414|156|3.9624|64.622|1.6414|180
70|C78|SMT|0805|1696|43.0784|3314|84.1756|Top|1729.465|43.9284|3314|84.1756|1696|43.0784|3314|84.1756|180
71|C79|SMT|0805|1696|43.0784|3415|86.741|Top|1729.465|43.9284|3415|86.741|1696|43.0784|3415|86.741|180
72|C80|SMT|0805|1547|39.2938|3516|89.3064|Top|1547|39.2938|3549.465|90.1564|1547|39.2938|3516|89.3064|270
73|C81|SMT|1206|1489|37.8206|1758|44.6532|Top|1489|37.8206|1700.913|43.20319|1489|37.8206|1758|44.6532|90
